29,18,30,When you refuse the stew; his cloak billows out; his eyes go red; and you notice red lightning crackling around his hands; arms and eyes.,Fight,Run
30,31,32,After a couple near misses of red lightning bolts; you make it out to the road; where you notice a nearby camp of people; with the faint sound of instruments.,Talk to the people,Avoid the people
31,33,32,You talk to a man dressed in the colourful clothes of a bard with strangely some bloodstains on them; and recognise the wagons as belonging to a travelling troupe. He offers to give you food and a place to sleep.,Stay and eat,Leave
32,0,0,Learning your lesson from the old man you travel alone to a large city that was nearby; where you become a rich merchant.,Play again,Play again
33,34,35,Around seven men and women are talking and drinking; and you notice one man fiddling with a lute in the corner.,Look around camp,Get some food
34,41,42,You think about what you should do.,Ask for a song,Wander around camp
35,36,40,You noticed earlier there were leaves you could use to grind into a poison; which you could then drop into the stew pot that no one has yet taken from. If you wanted to that is.,Poison stew,Take some stew
36,37,38,"You wait around ten minutes; and people start to cough and stumble. Confusion or blame of the chef comes to most people as they retire to their beds. Another 10 minutes passes and you start to hear vomiting and moaning. Some are passed out. One man stumbles towards you; he groans and points a finger at you. He speaks to you with weak breath. ""It was you wasn't it; i bet you are one of them damn troupers."" You notice there is a sword lying nearby.",Pick up sword,Run
37,39,38,You take up the sword but the man doesn's slow down; he is still stumbling and visibly weak and you think you could kill him.,Swing at him,Run
38,0,0,You run until you can't run anymore. The next day you make it to a city; where you become a rich merchant.,Play again,Play again
39,0,0,The man doesnt even react as the sword passes through his neck. He falls over and gives a low moan. You then run until you can't run anymore. The next day you make it to a city; where you become a rich merchant.,Play again,Play again
40,0,0,You take the stew and sleep well with a warm stomach of food. You even travel with the troupers for a while. Eventually they betray you and leave you behind; taking all their things with them; and you swear against troupers for the rest of your days.,Play again,Play again
41,33,33,The man does not look like a musician at all; his bard clothes also have blood stains and holes in them; perhaps recent; but the man looks uninjured. When you ask for a song he chuckles and tells you hes doesnt know any. He plucks at some random strings unpleasantly.,CONTINUE,CONTINUE
42,33,33,You walk around the wagons and notice some sheets laid out on the ground with lumps underneath. You lift the sheet to see bodies of men and women; not long dead. You think it best to not mention it; as if the people had made them that way; they might not like you knowing about them.,CONTINUE,CONTINUE
43,44,50,You walk into the tavern; not full; but locals and travellers are dotted around. You wonder whether or not you should talk to people or keep to yourself.,Sociable,Keep to yourself
44,45,50,After sitting down at the bar; a couple gruff men nearby call out to you and make fun of your haircut; that isnt common in these parts. They also make fun of your age; as you are quite young to be in a random tavern in the middle of nowhere on your own.,Stand up for yourself,Keep to yourself
45,46,1,The larger; balding one of the two; walks up to you and puffs his chest out; threatening you. You wonder if you should give in and appease him or put him in his place.,Defusion Approach,Aggresive approach
46,48,48,The large man laughs and tells you he was joking. He buys you a drink and you talk trade stories. They even let you stay at the tavern for free that night.,CONTINUE,CONTINUE
47,0,0,You grow comfortable with your life at the tavern; you marry a traveller who came through the tavern one day; and live a happy life together.,Play again,Play again
48,47,16,When you wake up; you go downstairs to get breakfast; and the owner of the tavern tells you they would be happy for you to stay on working there full time.,Take job,Move on
49,43,1,She smiles and tells you if you want to spend a few hours cleaning up she'd let you stay for free.,Work,Leave
50,16,51,You find a bench and table away from everyone else. A few minutes later; a barmaid comes over to ask if you would like a drink.,Drink strong drink,Drink water
51,49,1,After resting for a while in the warmth of the tavern. You are told they are closing; and that if you are going to stay; you will have to pay for a room.,Tell barmaid you don't have money,Leave
52,0,0,Unable to out run the wolves; they soon catch up to you; at which point you aren't too much trouble for the wolves to take care of.,Play again,Play again
